record_id,equipment_type,location,complaint,symptom,likely_cause,recommended_fix,estimated_cost_inr,estimated_time_hours,urgency,status,technician_feedback
MR-0096,Projector,Block D,Projector at Block D has a complaint of no display,No display,Lamp failure,Replace projector lamp and test display,5000.0,2.0,High,Resolved,Confirmed
MR-0097,Projector,Hostel A,Projector in Hostel A has dim display,Dim display,Lamp nearing end of life,Replace projector lamp,5000.0,1.5,Medium,Resolved,Confirmed
MR-0098,Projector,Block B,Projector at Block B is reporting overheating,Overheating,Blocked ventilation filter,Clean ventilation filter and cooling path,900.0,1.5,Medium,Resolved,Confirmed
MR-0099,Projector,Laboratory,Projector in Laboratory shows image flickering,Image flickering,Loose display cable,Reconnect or replace display cable,700.0,1.0,Medium,Resolved,Confirmed
MR-0100,Projector,Auditorium,Projector at Auditorium has a complaint of no power,No power,Power supply fault,Inspect and replace power supply component,2500.0,2.0,High,Resolved,Confirmed
MR-0161,Refrigerator,Block D,Refrigerator in Block D has not cooling,Not cooling,Compressor fault,Inspect compressor and replace if required,5500.0,4.0,High,Resolved,Confirmed
MR-0162,Refrigerator,Hostel A,Refrigerator at Hostel A is reporting water leaking,Water leaking,Blocked drain,Clean and unblock drain line,800.0,1.0,Medium,Resolved,Confirmed
MR-0163,Refrigerator,Block B,Refrigerator in Block B shows excessive frost,Excessive frost,Door gasket damage,Replace damaged door gasket,1200.0,1.5,Medium,Resolved,Confirmed
MR-0164,Refrigerator,Laboratory,Refrigerator at Laboratory has a complaint of unusual noise,Unusual noise,Condenser fan wear,Inspect and replace condenser fan,2200.0,2.5,Medium,Resolved,Confirmed
MR-0165,Refrigerator,Auditorium,Refrigerator in Auditorium has frequent cycling,Frequent cycling,Temperature sensor fault,Test and replace temperature sensor,1800.0,2.0,Medium,Resolved,Confirmed
MR-0166,Refrigerator,Block D,Refrigerator at Block D is reporting not cooling,Not cooling,Compressor fault,Inspect compressor and replace if required,5500.0,4.0,High,Resolved,Confirmed
MR-0167,Refrigerator,Hostel A,Refrigerator in Hostel A shows water leaking,Water leaking,Blocked drain,Clean and unblock drain line,800.0,1.0,Medium,Resolved,Confirmed
MR-0168,Refrigerator,Block B,Refrigerator at Block B has a complaint of excessive frost,Excessive frost,Door gasket damage,Replace damaged door gasket,1200.0,1.5,Medium,Resolved,Confirmed
MR-0169,Refrigerator,Laboratory,Refrigerator in Laboratory has unusual noise,Unusual noise,Condenser fan wear,Inspect and replace condenser fan,2200.0,2.5,Medium,Resolved,Confirmed
MR-0170,Refrigerator,Auditorium,Refrigerator at Auditorium is reporting frequent cycling,Frequent cycling,Temperature sensor fault,Test and replace temperature sensor,1800.0,2.0,Medium,Resolved,Confirmed
MR-0171,Refrigerator,Block D,Refrigerator in Block D shows not cooling,Not cooling,Compressor fault,Inspect compressor and replace if required,5500.0,4.0,High,Resolved,Confirmed
MR-0172,Refrigerator,Hostel A,Refrigerator at Hostel A has a complaint of water leaking,Water leaking,Blocked drain,Clean and unblock drain line,800.0,1.0,Medium,Resolved,Confirmed
MR-0173,Refrigerator,Block B,Refrigerator in Block B has excessive frost,Excessive frost,Door gasket damage,Replace damaged door gasket,1200.0,1.5,Medium,Resolved,Confirmed
MR-0174,Refrigerator,Laboratory,Refrigerator at Laboratory is reporting unusual noise,Unusual noise,Condenser fan wear,Inspect and replace condenser fan,2200.0,2.5,Medium,Resolved,Confirmed
MR-0175,Refrigerator,Auditorium,Refrigerator in Auditorium shows frequent cycling,Frequent cycling,Temperature sensor fault,Test and replace temperature sensor,1800.0,2.0,Medium,Resolved,Confirmed
MR-0176,Refrigerator,Block D,Refrigerator at Block D has a complaint of not cooling,Not cooling,Compressor fault,Inspect compressor and replace if required,5500.0,4.0,High,Resolved,Confirmed
MR-0177,Refrigerator,Hostel A,Refrigerator in Hostel A has water leaking,Water leaking,Blocked drain,Clean and unblock drain line,800.0,1.0,Medium,Resolved,Confirmed
MR-0178,Refrigerator,Block B,Refrigerator at Block B is reporting excessive frost,Excessive frost,Door gasket damage,Replace damaged door gasket,1200.0,1.5,Medium,Resolved,Confirmed
MR-0179,Refrigerator,Laboratory,Refrigerator in Laboratory shows unusual noise,Unusual noise,Condenser fan wear,Inspect and replace condenser fan,2200.0,2.5,Medium,Resolved,Confirmed
MR-0180,Refrigerator,Auditorium,Refrigerator at Auditorium has a complaint of frequent cycling,Frequent cycling,Temperature sensor fault,Test and replace temperature sensor,1800.0,2.0,Medium,Resolved,Confirmed
MR-0181,Water Cooler,Block D,Water Cooler in Block D has not cooling,Not cooling,Cooling compressor fault,Inspect compressor and cooling circuit,3500.0,3.0,High,Resolved,Confirmed
MR-0182,Water Cooler,Hostel A,Water Cooler at Hostel A is reporting water leakage,Water leakage,Damaged pipe connection,Replace damaged connection and test for leakage,700.0,1.0,Medium,Resolved,Confirmed
MR-0183,Water Cooler,Block B,Water Cooler in Block B shows low water flow,Low water flow,Blocked filter,Clean or replace water filter,500.0,0.75,Low,Resolved,Confirmed
MR-0184,Water Cooler,Laboratory,Water Cooler at Laboratory has a complaint of unusual noise,Unusual noise,Fan motor wear,Inspect and replace fan motor,1800.0,2.0,Medium,Resolved,Confirmed
MR-0185,Water Cooler,Auditorium,Water Cooler in Auditorium has not cooling,Not cooling,Cooling compressor fault,Inspect compressor and cooling circuit,3500.0,3.0,High,Resolved,Confirmed
MR-0186,Water Cooler,Block D,Water Cooler at Block D is reporting water leakage,Water leakage,Damaged pipe connection,Replace damaged connection and test for leakage,700.0,1.0,Medium,Resolved,Confirmed
MR-0187,Water Cooler,Hostel A,Water Cooler in Hostel A shows low water flow,Low water flow,Blocked filter,Clean or replace water filter,500.0,0.75,Low,Resolved,Confirmed
MR-0188,Water Cooler,Block B,Water Cooler at Block B has a complaint of unusual noise,Unusual noise,Fan motor wear,Inspect and replace fan motor,1800.0,2.0,Medium,Resolved,Confirmed
MR-0189,Water Cooler,Laboratory,Water Cooler in Laboratory has not cooling,Not cooling,Cooling compressor fault,Inspect compressor and cooling circuit,3500.0,3.0,High,Resolved,Confirmed
MR-0190,Water Cooler,Auditorium,Water Cooler at Auditorium is reporting water leakage,Water leakage,Damaged pipe connection,Replace damaged connection and test for leakage,700.0,1.0,Medium,Resolved,Confirmed
MR-0191,Water Cooler,Block D,Water Cooler in Block D shows low water flow,Low water flow,Blocked filter,Clean or replace water filter,500.0,0.75,Low,Resolved,Confirmed
MR-0192,Water Cooler,Hostel A,Water Cooler at Hostel A has a complaint of unusual noise,Unusual noise,Fan motor wear,Inspect and replace fan motor,1800.0,2.0,Medium,Resolved,Confirmed
MR-0193,Water Cooler,Block B,Water Cooler in Block B has not cooling,Not cooling,Cooling compressor fault,Inspect compressor and cooling circuit,3500.0,3.0,High,Resolved,Confirmed
MR-0194,Water Cooler,Laboratory,Water Cooler at Laboratory is reporting water leakage,Water leakage,Damaged pipe connection,Replace damaged connection and test for leakage,700.0,1.0,Medium,Resolved,Confirmed
MR-0195,Water Cooler,Auditorium,Water Cooler in Auditorium shows low water flow,Low water flow,Blocked filter,Clean or replace water filter,500.0,0.75,Low,Resolved,Confirmed
MR-0196,Water Cooler,Block D,Water Cooler at Block D has a complaint of unusual noise,Unusual noise,Fan motor wear,Inspect and replace fan motor,1800.0,2.0,Medium,Resolved,Confirmed
MR-0197,Water Cooler,Hostel A,Water Cooler in Hostel A has not cooling,Not cooling,Cooling compressor fault,Inspect compressor and cooling circuit,3500.0,3.0,High,Resolved,Confirmed
MR-0198,Water Cooler,Block B,Water Cooler at Block B is reporting water leakage,Water leakage,Damaged pipe connection,Replace damaged connection and test for leakage,700.0,1.0,Medium,Resolved,Confirmed
MR-0199,Water Cooler,Laboratory,Water Cooler in Laboratory shows low water flow,Low water flow,Blocked filter,Clean or replace water filter,500.0,0.75,Low,Resolved,Confirmed
MR-0200,Water Cooler,Auditorium,Water Cooler at Auditorium has a complaint of unusual noise,Unusual noise,Fan motor wear,Inspect and replace fan motor,1800.0,2.0,Medium,Resolved,Confirmed
MR-0061,Water Pump,Block D,Water Pump in Block D has pump not running,Pump not running,Motor electrical fault,Inspect motor wiring and repair electrical fault,2500.0,2.5,High,Resolved,Confirmed
MR-0062,Water Pump,Hostel A,Water Pump at Hostel A is reporting low water pressure,Low water pressure,Impeller wear,Inspect and replace worn impeller,2800.0,3.0,Medium,Resolved,Confirmed
MR-0063,Water Pump,Block B,Water Pump in Block B shows loud noise,Loud noise,Bearing wear,Replace worn pump bearings,2200.0,2.5,Medium,Resolved,Confirmed
MR-0064,Water Pump,Laboratory,Water Pump at Laboratory has a complaint of water leakage,Water leakage,Mechanical seal failure,Replace mechanical seal and test pump,1800.0,2.0,High,Resolved,Confirmed
MR-0065,Water Pump,Auditorium,Water Pump in Auditorium has frequent shutdown,Frequent shutdown,Motor overheating,Inspect motor cooling and electrical load,3000.0,3.0,High,Resolved,Confirmed
MR-0066,Water Pump,Block D,Water Pump at Block D is reporting pump not running,Pump not running,Motor electrical fault,Inspect motor wiring and repair electrical fault,2500.0,2.5,High,Resolved,Confirmed
MR-0067,Water Pump,Hostel A,Water Pump in Hostel A shows low water pressure,Low water pressure,Impeller wear,Inspect and replace worn impeller,2800.0,3.0,Medium,Resolved,Confirmed
MR-0068,Water Pump,Block B,Water Pump at Block B has a complaint of loud noise,Loud noise,Bearing wear,Replace worn pump bearings,2200.0,2.5,Medium,Resolved,Confirmed
MR-0069,Water Pump,Laboratory,Water Pump in Laboratory has water leakage,Water leakage,Mechanical seal failure,Replace mechanical seal and test pump,1800.0,2.0,High,Resolved,Confirmed
MR-0070,Water Pump,Auditorium,Water Pump at Auditorium is reporting frequent shutdown,Frequent shutdown,Motor overheating,Inspect motor cooling and electrical load,3000.0,3.0,High,Resolved,Confirmed
MR-0071,Water Pump,Block D,Water Pump in Block D shows pump not running,Pump not running,Motor electrical fault,Inspect motor wiring and repair electrical fault,2500.0,2.5,High,Resolved,Confirmed
MR-0072,Water Pump,Hostel A,Water Pump at Hostel A has a complaint of low water pressure,Low water pressure,Impeller wear,Inspect and replace worn impeller,2800.0,3.0,Medium,Resolved,Confirmed
MR-0073,Water Pump,Block B,Water Pump in Block B has loud noise,Loud noise,Bearing wear,Replace worn pump bearings,2200.0,2.5,Medium,Resolved,Confirmed
MR-0074,Water Pump,Laboratory,Water Pump at Laboratory is reporting water leakage,Water leakage,Mechanical seal failure,Replace mechanical seal and test pump,1800.0,2.0,High,Resolved,Confirmed
MR-0075,Water Pump,Auditorium,Water Pump in Auditorium shows frequent shutdown,Frequent shutdown,Motor overheating,Inspect motor cooling and electrical load,3000.0,3.0,High,Resolved,Confirmed
MR-0076,Water Pump,Block D,Water Pump at Block D has a complaint of pump not running,Pump not running,Motor electrical fault,Inspect motor wiring and repair electrical fault,2500.0,2.5,High,Resolved,Confirmed
MR-0077,Water Pump,Hostel A,Water Pump in Hostel A has low water pressure,Low water pressure,Impeller wear,Inspect and replace worn impeller,2800.0,3.0,Medium,Resolved,Confirmed
MR-0078,Water Pump,Block B,Water Pump at Block B is reporting loud noise,Loud noise,Bearing wear,Replace worn pump bearings,2200.0,2.5,Medium,Resolved,Confirmed
MR-0079,Water Pump,Laboratory,Water Pump in Laboratory shows water leakage,Water leakage,Mechanical seal failure,Replace mechanical seal and test pump,1800.0,2.0,High,Resolved,Confirmed
MR-0080,Water Pump,Auditorium,Water Pump at Auditorium has a complaint of frequent shutdown,Frequent shutdown,Motor overheating,Inspect motor cooling and electrical load,3000.0,3.0,High,Resolved,Confirmed
MR-0141,Wi-Fi Access Point,Block D,Wi-Fi Access Point in Block D has no internet connection,No internet connection,Network uplink failure,Check uplink cable and network switch connection,700.0,1.0,High,Resolved,Confirmed
MR-0142,Wi-Fi Access Point,Hostel A,Wi-Fi Access Point at Hostel A is reporting weak signal,Weak signal,Access point placement issue,Reposition access point and verify signal coverage,1000.0,2.0,Medium,Resolved,Confirmed
MR-0143,Wi-Fi Access Point,Block B,Wi-Fi Access Point in Block B shows frequent disconnection,Frequent disconnection,Firmware instability,Update firmware and verify configuration,500.0,1.5,Medium,Resolved,Confirmed
MR-0144,Wi-Fi Access Point,Laboratory,Wi-Fi Access Point at Laboratory has a complaint of device offline,Device offline,Power over Ethernet failure,Check PoE port and cable connection,900.0,1.5,High,Resolved,Confirmed
MR-0145,Wi-Fi Access Point,Auditorium,Wi-Fi Access Point in Auditorium has slow connection,Slow connection,High client load,Review connected clients and optimize access point configuration,800.0,2.0,Medium,Resolved,Confirmed
MR-0146,Wi-Fi Access Point,Block D,Wi-Fi Access Point at Block D is reporting no internet connection,No internet connection,Network uplink failure,Check uplink cable and network switch connection,700.0,1.0,High,Resolved,Confirmed
MR-0147,Wi-Fi Access Point,Hostel A,Wi-Fi Access Point in Hostel A shows weak signal,Weak signal,Access point placement issue,Reposition access point and verify signal coverage,1000.0,2.0,Medium,Resolved,Confirmed
MR-0148,Wi-Fi Access Point,Block B,Wi-Fi Access Point at Block B has a complaint of frequent disconnection,Frequent disconnection,Firmware instability,Update firmware and verify configuration,500.0,1.5,Medium,Resolved,Confirmed
MR-0149,Wi-Fi Access Point,Laboratory,Wi-Fi Access Point in Laboratory has device offline,Device offline,Power over Ethernet failure,Check PoE port and cable connection,900.0,1.5,High,Resolved,Confirmed
MR-0150,Wi-Fi Access Point,Auditorium,Wi-Fi Access Point at Auditorium is reporting slow connection,Slow connection,High client load,Review connected clients and optimize access point configuration,800.0,2.0,Medium,Resolved,Confirmed
MR-0151,Wi-Fi Access Point,Block D,Wi-Fi Access Point in Block D shows no internet connection,No internet connection,Network uplink failure,Check uplink cable and network switch connection,700.0,1.0,High,Resolved,Confirmed
MR-0152,Wi-Fi Access Point,Hostel A,Wi-Fi Access Point at Hostel A has a complaint of weak signal,Weak signal,Access point placement issue,Reposition access point and verify signal coverage,1000.0,2.0,Medium,Resolved,Confirmed
MR-0153,Wi-Fi Access Point,Block B,Wi-Fi Access Point in Block B has frequent disconnection,Frequent disconnection,Firmware instability,Update firmware and verify configuration,500.0,1.5,Medium,Resolved,Confirmed
MR-0154,Wi-Fi Access Point,Laboratory,Wi-Fi Access Point at Laboratory is reporting device offline,Device offline,Power over Ethernet failure,Check PoE port and cable connection,900.0,1.5,High,Resolved,Confirmed
MR-0155,Wi-Fi Access Point,Auditorium,Wi-Fi Access Point in Auditorium shows slow connection,Slow connection,High client load,Review connected clients and optimize access point configuration,800.0,2.0,Medium,Resolved,Confirmed
MR-0156,Wi-Fi Access Point,Block D,Wi-Fi Access Point at Block D has a complaint of no internet connection,No internet connection,Network uplink failure,Check uplink cable and network switch connection,700.0,1.0,High,Resolved,Confirmed
MR-0157,Wi-Fi Access Point,Hostel A,Wi-Fi Access Point in Hostel A has weak signal,Weak signal,Access point placement issue,Reposition access point and verify signal coverage,1000.0,2.0,Medium,Resolved,Confirmed
MR-0158,Wi-Fi Access Point,Block B,Wi-Fi Access Point at Block B is reporting frequent disconnection,Frequent disconnection,Firmware instability,Update firmware and verify configuration,500.0,1.5,Medium,Resolved,Confirmed
MR-0159,Wi-Fi Access Point,Laboratory,Wi-Fi Access Point in Laboratory shows device offline,Device offline,Power over Ethernet failure,Check PoE port and cable connection,900.0,1.5,High,Resolved,Confirmed
MR-0160,Wi-Fi Access Point,Auditorium,Wi-Fi Access Point at Auditorium has a complaint of slow connection,Slow connection,High client load,Review connected clients and optimize access point configuration,800.0,2.0,Medium,Resolved,Confirmed
